Presenter Name,Institution
D O’Sullivan,"School of Computer Science, Technological University Dublin Dublin, Ireland"
D Tanner,"School of Engineering, University of Limerick Limerick, Ireland"
D. B. Lowe,"The University of Sydney Sydney, Australia"
"D. B. Lowe,A. Kadi","The University of Sydney Sydney, Australia"
D. Bairaktarova,"Department of Engineering Education, Virginia Polytechnic Institute and State University"
D. Bairaktarova,"Virginia Polytechnic Institute and State University Virginia, USA"
D. Christensen,"Minnesota State University, Mankato – Department of Integrated Engineering Virginia, MN, USA"
D. Christensen,"Minnesota State University, Mankato – Iron Range Engineering Virginia, MN, USA"
D. Cserzo,"Cardiff University Cardiff, UK"
D. Diaz Herrera,"University of Illinois, Chicago Chicago, USA"
D. M. L. D. Rasteiro,"Polytechnic Institute of Coimbra, Coimbra Institute of Engineering, Coimbra, Portugal ORCID ---"
D. M. L. D. Rasteiro,"Polytechnic University of Coimbra, Coimbra Institute of Engineering, Coimbra, Portugal"
D. Martin,"Eindhoven University of Technology Eindhoven, the Netherlandshttps://orcid.org/---"
D. Ryan,"Technological University Dublin Dublin, Ireland"
D. S. Sass,"DTU Learning Lab, Technical University of Denmark Kongens Lyngby, Denmark"
D. Tanner,"School of Engineering, University of Limerick, Limerick, Ireland Limerick, Ireland"
D.T. Nicholson,"Department of Natural Sciences, Manchester Metropolitan University, Manchester, United Kingdom"
DENMARK,"bSchool of Mechanical Engineering, Technological University Dublin, Bolton Street, Dublin"
DP Reid,"School of Engineering, University of Edinburgh Edinburgh, UK"
"Deolinda Dias Rasteiro, ISEC Coimbra","Calvin Rans, Delft University of Technology"
Deolinda M.L.D. Rasteiro,"Polytechnic Institute of Coimbra, Coimbra Institute of Engineering, Coimbra, Portugal ORCID ---"
Department of Engineering Education,Virginia Polytechnic Institute and State University
Department of Mechanical Engineering,University of Texas at Tyler
"Department of Physics,","Norwegian University of Science and Technology Trondheim, Norway"
Dorel Picovici,"Dept. of Electronic Eng. and Comm., South East Technological University, Carlow, Ireland"
Dr. R Gallery,"Technological University Dublin Dublin, Ireland"
Dr. U Beagon,"Technological University Dublin Dublin, Ireland"
"Dublin, Ireland",M van den Bogaard The University of Texas
E Inanma,Research Group Gender and Diversity in Engineering RWTH Aachen University
E M Horstman,"Department of Civil Engineering, University of Twente Enschede, The Netherlands"
E Murphy,"Atlantic Technological University Sligo Sligo, Ireland"
E Murphy,"School of Computer Science, Technological University Dublin Dublin, Ireland"
E. Fauster,"Research Group Gender and Diversity in Engineering, RWTH Aachen University Aachen, Germany"
E. J. Tonkes,"Sustainable Energy Program, School of Chemical Engineering The University of Queensland"
E. K. A. Gill,"Faculty of Aerospace Engineering, Delft University of Technology Delft, the Netherlands"
E. Nierle,"Department of Energy Technology, University of Applied Sciences Aachen Aachen, Germany"
E. Stack Mulvihill,"School of Education, University of Limerick, Limerick, Ireland Limerick, Ireland"
E. Tilley,"University College London London, UK"
E. Tosun,"European Students of Industrial Engineering and Management, Bilkent University Ankara, Turkey"
E.Browncross,"The University of Sheffield, Sheffield, United Kingdom ---"
E.H. Eshuis,"Saxion University of Applied Sciences Enschede, The Netherlands"
E.M. van Bueren,Management in the Built Environment Delft University of Technology
Esther Ventura-Medina,"Eindhoven University of Technology (Tu/e) Eindhoven, The Netherlands https://orcid.org/---X"
Evaluation mechanism,Faculty and teaching personnel training on new pedagogies
Example of CEE provision offered,Aalborg Universitywww.aau.dk
F Engelhardt,Research Group Combinatorial Optimization RWTH Aachen University
F Kula,"Department of Applied Mathematics, University of Twente Enschede, The Netherlands"
F Saunders Manchester Metropolitan,University
F. Boyle,"Munster Technological University, Kerry Tralee, Ireland"
"F. Higgins,","Technological University Dublin, Faculty of Business, Dublin, Ireland"
F. Huening,"Department of Electrical Engineering and Information Technology, University of Applied Science Aachen"
F. Pfaff,"Karlsruhe Institute of Technology Karlsruhe, Germany"
F. Saunders,"Manchester Metropolitan University,"
F. Silva,"European Students of Industrial Engineering and Management, University of Porto Porto, Portugal"
F. Trede,"University of Technology Sydney Sydney, Australia"
F. Trigueiros,"European Students of Industrial Engineering and Management, University of Porto Porto, Portugal"
F.C. Saunders,"Department of Engineering, Faculty of Science and Engineering, Manchester Metropolitan University,"
FRANCE,Free School Meals (FSM) at secondary school
Fabrizio Mazzetto,"Faculty of Agricultural, Environmental and Food Sciences, Free University of"
Face-to-face communication during course (),Communication with TUNI colleagues and contacts outside Tampere University ()
Faculty of Aerospace Engineering,Delft University of Technology Leiden-Delft-Erasmus Centre for Education and Learning
Feedback,‘I receivedgoodfeedback [link to College page about feedback]
Finland,JAMK University of Applied Sciences
Focus on student experience,transition to university life
"Frameworkhttps://doi.org/./XJN-ABagiati, A., & Reynolds-Cuellar, J.",Engineering Curriculum Redesign: Is My School Ready For This?
Francesco Fabio Nicolosi,"Faculty of Agricultural, Environmental and Food Sciences, Free University of"
